iter	Passed	Remaining
0	174	174205
1	202	100898
2	229	76286
3	240	59979
4	271	53956
5	301	49896
6	331	47009
7	362	44889
8	382	42141
9	413	40928
10	444	39935
11	474	39098
12	508	38583
13	519	36563
14	549	36077
15	565	34796
16	596	34499
17	625	34148
18	656	33888
19	686	33619
20	707	32961
21	737	32763
22	748	31794
23	779	31694
24	809	31576
25	820	30735
26	849	30625
27	879	30547
28	910	30488
29	926	29952
30	956	29884
31	962	29122
32	974	28547
33	1004	28544
34	1034	28527
35	1041	27884
36	1070	27860
37	1100	27862
38	1116	27510
39	1146	27526
40	1175	27504
41	1182	26970
42	1192	26547
43	1212	26344
44	1223	25970
45	1254	26011
46	1270	25766
47	1285	25498
48	1313	25501
49	1333	25343
50	1349	25109
51	1379	25141
52	1394	24909
53	1423	24942
54	1434	24653
55	1464	24694
56	1494	24726
57	1522	24732
58	1552	24766
59	1581	24780
60	1610	24798
61	1640	24826
62	1669	24830
63	1681	24584
64	1710	24611
65	1740	24625
66	1770	24655
67	1800	24674
68	1825	24631
69	1854	24639
70	1883	24643
71	1912	24655
72	1937	24604
73	1967	24623
74	1997	24629
75	2022	24585
76	2052	24600
77	2082	24611
78	2112	24630
79	2143	24647
80	2153	24438
81	2174	24341
82	2204	24354
83	2234	24365
84	2264	24375
85	2293	24377
86	2309	24235
87	2338	24233
88	2354	24097
89	2383	24103
90	2412	24103
91	2443	24114
92	2472	24117
93	2501	24111
94	2532	24121
95	2561	24122
96	2577	23990
97	2605	23982
98	2635	23983
99	2652	23873
100	2663	23709
101	2693	23709
102	2721	23699
103	2736	23573
104	2765	23576
105	2796	23585
106	2826	23591
107	2856	23588
108	2884	23580
109	2914	23583
110	2944	23584
111	2964	23504
112	2989	23465
113	3018	23460
114	3034	23352
115	3054	23275
116	3066	23141
117	3095	23136
118	3101	22961
119	3131	22962
120	3160	22959
121	3171	22826
122	3196	22794
123	3208	22663
124	3219	22533
125	3234	22432
126	3244	22304
127	3274	22307
128	3303	22306
129	3332	22304
130	3363	22315
131	3393	22312
132	3422	22313
133	3458	22351
134	3487	22344
135	3494	22198
136	3523	22193
137	3552	22189
138	3580	22180
139	3609	22172
140	3640	22180
141	3670	22177
142	3700	22174
143	3729	22169
144	3759	22166
145	3790	22174
146	3802	22062
147	3832	22060
148	3862	22061
149	3884	22012
150	3909	21980
151	3915	21845
152	3945	21840
153	3960	21758
154	3991	21762
155	3998	21632
156	4027	21624
157	4057	21621
158	4087	21622
159	4117	21615
160	4148	21616
161	4177	21610
162	4207	21604
163	4240	21617
164	4270	21612
165	4300	21603
166	4311	21507
167	4336	21478
168	4348	21380
169	4377	21373
170	4407	21365
171	4436	21355
172	4467	21353
173	4496	21346
174	4526	21337
175	4555	21326
176	4561	21208
177	4589	21194
178	4619	21187
179	4650	21184
180	4681	21184
181	4688	21072
182	4717	21063
183	4746	21051
184	4777	21045
185	4806	21035
186	4812	20924
187	4842	20913
188	4871	20903
189	4901	20894
190	4930	20884
191	4959	20870
192	4990	20865
193	5010	20815
194	5040	20808
195	5069	20796
196	5100	20790
197	5131	20787
198	5161	20776
199	5192	20770
200	5223	20762
201	5229	20659
202	5259	20648
203	5289	20638
204	5319	20631
205	5354	20636
206	5389	20647
207	5419	20634
208	5450	20626
209	5480	20618
210	5510	20605
211	5540	20592
212	5569	20577
213	5599	20565
214	5629	20554
215	5660	20545
216	5691	20536
217	5720	20519
218	5748	20501
219	5778	20488
220	5809	20476
221	5838	20461
222	5868	20445
223	5897	20431
224	5926	20414
225	5957	20402
226	5986	20386
227	6016	20372
228	6047	20359
229	6076	20342
230	6106	20329
231	6137	20316
232	6166	20300
233	6197	20287
234	6226	20269
235	6256	20252
236	6286	20237
237	6316	20221
238	6344	20201
239	6372	20179
240	6401	20161
241	6432	20148
242	6464	20137
243	6493	20120
244	6523	20104
245	6552	20084
246	6583	20069
247	6612	20051
248	6642	20034
249	6673	20019
250	6703	20002
251	6734	19989
252	6763	19970
253	6794	19955
254	6824	19938
255	6853	19918
256	6883	19900
257	6912	19881
258	6942	19862
259	6973	19846
260	7004	19831
261	7034	19813
262	7064	19796
263	7093	19776
264	7123	19757
265	7153	19738
266	7183	19721
267	7212	19700
268	7241	19679
269	7270	19657
270	7300	19637
271	7329	19616
272	7358	19596
273	7390	19580
274	7420	19562
275	7450	19542
276	7478	19520
277	7507	19497
278	7539	19483
279	7567	19459
280	7596	19438
281	7627	19421
282	7658	19403
283	7688	19383
284	7718	19363
285	7748	19345
286	7778	19325
287	7808	19303
288	7837	19280
289	7867	19261
290	7896	19238
291	7925	19216
292	7954	19193
293	7983	19170
294	8013	19150
295	8044	19131
296	8072	19108
297	8102	19087
298	8131	19064
299	8173	19070
300	8202	19048
301	8232	19028
302	8263	19009
303	8293	18987
304	8322	18965
305	8351	18941
306	8381	18918
307	8411	18898
308	8440	18874
309	8469	18852
310	8499	18829
311	8529	18808
312	8559	18787
313	8589	18765
314	8619	18743
315	8648	18720
316	8678	18697
317	8706	18672
318	8735	18649
319	8765	18625
320	8794	18603
321	8824	18581
322	8854	18559
323	8884	18536
324	8914	18515
325	8945	18495
326	8974	18471
327	9004	18447
328	9033	18424
329	9062	18399
330	9092	18377
331	9121	18353
332	9151	18330
333	9181	18307
334	9211	18285
335	9278	18336
336	9307	18311
337	9337	18288
338	9367	18265
339	9396	18240
340	9425	18215
341	9456	18193
342	9484	18167
343	9513	18142
344	9543	18119
345	9573	18095
346	9602	18070
347	9631	18044
348	9660	18020
349	9689	17995
350	9720	17973
351	9750	17949
352	9779	17924
353	9809	17900
354	9838	17875
355	9868	17851
356	9898	17828
357	9928	17804
358	9958	17781
359	9989	17758
360	10018	17733
361	10049	17711
362	10079	17688
363	10109	17663
364	10138	17638
365	10166	17611
366	10197	17588
367	10229	17567
368	10259	17544
369	10289	17519
370	10318	17493
371	10347	17469
372	10377	17444
373	10408	17421
374	10438	17397
375	10469	17374
376	10499	17351
377	10530	17328
378	10561	17304
379	10589	17277
380	10620	17254
381	10648	17227
382	10678	17201
383	10706	17175
384	10734	17147
385	10765	17124
386	10793	17097
387	10823	17072
388	10854	17048
389	10882	17021
390	10913	16998
391	10942	16971
392	10970	16944
393	10998	16916
394	11029	16893
395	11058	16867
396	11087	16841
397	11116	16815
398	11146	16788
399	11175	16762
400	11203	16735
401	11234	16711
402	11263	16686
403	11293	16660
404	11323	16635
405	11352	16609
406	11381	16582
407	11410	16556
408	11439	16529
409	11468	16503
410	11496	16475
